Timestamp,Shelby ABB-521 Frequency Delta (dF/dt),Shelby ABB-521 Digital Value 1,Shelby ABB-521 Status Flags,Shelby ABB-521 Frequency
01-Sep-2022 01:19:58.600,-0.61,0.0,8228.0,59.967
01-Sep-2022 01:19:58.666,0.16,0.0,8228.0,59.968
01-Sep-2022 01:19:58.700,0.07,0.0,8228.0,59.962
01-Sep-2022 01:19:58.733,0.49,0.0,8228.0,59.965
01-Sep-2022 01:19:58.766,-0.01,0.0,8228.0,59.969
01-Sep-2022 01:19:58.800,0.03,0.0,8228.0,59.964
01-Sep-2022 01:19:58.833,-0.06,0.0,8228.0,59.962
01-Sep-2022 01:19:58.866,0.4,0.0,8228.0,59.97
01-Sep-2022 01:19:58.900,0.09,0.0,8228.0,59.963
01-Sep-2022 01:19:58.933,-0.16,0.0,8228.0,59.964
01-Sep-2022 01:19:58.966,0.22,0.0,8228.0,59.966
01-Sep-2022 01:19:59.000,0.16,0.0,8228.0,59.964
01-Sep-2022 01:19:59.033,-0.07,0.0,8228.0,59.962
01-Sep-2022 01:19:59.066,0.31,0.0,8228.0,59.956
01-Sep-2022 01:19:59.100,-0.4,0.0,8228.0,59.967
01-Sep-2022 01:19:59.200,0.76,0.0,8228.0,59.964
01-Sep-2022 01:19:59.233,0.36,0.0,8228.0,59.96
01-Sep-2022 01:19:59.266,-0.2,0.0,8228.0,59.967
01-Sep-2022 01:19:59.366,0.23,0.0,8228.0,59.96
01-Sep-2022 01:19:59.400,-0.74,0.0,8228.0,59.955
01-Sep-2022 01:19:59.600,0.45,0.0,8228.0,59.963
01-Sep-2022 01:19:59.633,0.26,0.0,8228.0,59.964
01-Sep-2022 01:19:59.666,-0.1,0.0,8228.0,59.966
01-Sep-2022 01:19:59.766,0.24,0.0,8228.0,59.96
01-Sep-2022 01:19:59.800,-0.1,0.0,8228.0,59.956
01-Sep-2022 01:19:59.833,-0.02,0.0,8228.0,59.963
01-Sep-2022 01:19:59.933,-0.5,0.0,8228.0,59.965
01-Sep-2022 01:19:59.966,-0.24,0.0,8228.0,59.965
01-Sep-2022 01:20:00.000,-0.03,0.0,8228.0,59.962
01-Sep-2022 01:20:00.033,-0.05,0.0,8228.0,59.96
01-Sep-2022 01:20:00.066,-0.65,0.0,8228.0,59.966
01-Sep-2022 01:20:00.166,0.09,0.0,8228.0,59.963
01-Sep-2022 01:20:00.200,-0.03,0.0,8228.0,59.964
01-Sep-2022 01:20:00.233,-0.51,0.0,8228.0,59.956
01-Sep-2022 01:20:00.266,-0.64,0.0,8228.0,59.968
01-Sep-2022 01:20:00.300,-0.06,0.0,8228.0,59.962
01-Sep-2022 01:20:00.333,-0.2,0.0,8228.0,59.965
01-Sep-2022 01:20:00.366,0.93,0.0,8228.0,59.97
01-Sep-2022 01:20:00.400,-0.27,0.0,8228.0,59.966
01-Sep-2022 01:20:00.500,-0.23,0.0,8228.0,59.96
01-Sep-2022 01:20:00.533,0.45,0.0,8228.0,59.959
01-Sep-2022 01:20:00.566,0.18,0.0,8228.0,59.965
01-Sep-2022 01:20:00.600,1.0,0.0,8228.0,59.967
01-Sep-2022 01:20:00.633,-0.74,0.0,8228.0,59.964
01-Sep-2022 01:20:00.666,0.03,0.0,8228.0,59.962
01-Sep-2022 01:20:00.700,-0.39,0.0,8228.0,59.965
01-Sep-2022 01:20:00.800,0.58,0.0,8228.0,59.961
01-Sep-2022 01:20:00.833,0.05,0.0,8228.0,59.964
01-Sep-2022 01:20:00.866,0.15,0.0,8228.0,59.963
01-Sep-2022 01:20:00.900,-0.41,0.0,8228.0,59.965
01-Sep-2022 01:20:01.000,-0.44,0.0,8228.0,59.963
01-Sep-2022 01:20:01.033,0.1,0.0,8228.0,59.968
01-Sep-2022 01:20:01.066,0.41,0.0,8228.0,59.961
01-Sep-2022 01:20:01.100,-0.23,0.0,8228.0,59.965
01-Sep-2022 01:20:01.133,-0.22,0.0,8228.0,59.96
01-Sep-2022 01:20:01.166,0.58,0.0,8228.0,59.97
01-Sep-2022 01:20:01.266,0.03,0.0,8228.0,59.966
01-Sep-2022 01:20:01.300,-0.23,0.0,8228.0,59.963
01-Sep-2022 01:20:01.333,0.19,0.0,8228.0,59.964
01-Sep-2022 01:20:01.400,-0.17,0.0,8228.0,59.969
01-Sep-2022 01:20:01.433,0.54,0.0,8228.0,59.964
01-Sep-2022 01:20:01.466,0.08,0.0,8228.0,59.969
01-Sep-2022 01:20:01.500,0.02,0.0,8228.0,59.956
01-Sep-2022 01:20:01.533,-0.26,0.0,8228.0,59.966
01-Sep-2022 01:20:01.666,0.27,0.0,8228.0,59.959
01-Sep-2022 01:20:01.700,0.13,0.0,8228.0,59.964
01-Sep-2022 01:20:01.733,0.22,0.0,8228.0,59.966
01-Sep-2022 01:20:01.766,-0.75,0.0,8228.0,59.96
01-Sep-2022 01:20:01.800,0.26,0.0,8228.0,59.966
01-Sep-2022 01:20:01.833,-0.58,0.0,8228.0,59.968
01-Sep-2022 01:20:01.866,0.42,0.0,8228.0,59.965
01-Sep-2022 01:20:01.900,-0.68,0.0,8228.0,59.967
01-Sep-2022 01:20:02.000,-0.09,0.0,8228.0,59.971
01-Sep-2022 01:20:02.033,-0.56,0.0,8228.0,59.97
01-Sep-2022 01:20:02.066,0.11,0.0,8228.0,59.97
01-Sep-2022 01:20:02.166,0.44,0.0,8228.0,59.964
01-Sep-2022 01:20:02.200,-0.42,0.0,8228.0,59.964
01-Sep-2022 01:20:02.233,0.37,0.0,8228.0,59.966
01-Sep-2022 01:20:02.266,0.18,0.0,8228.0,59.964
01-Sep-2022 01:20:02.300,0.09,0.0,8228.0,59.966
01-Sep-2022 01:20:02.333,-0.49,0.0,8228.0,59.97
01-Sep-2022 01:20:02.366,-0.19,0.0,8228.0,59.961
01-Sep-2022 01:20:02.400,0.83,0.0,8228.0,59.96
01-Sep-2022 01:20:02.433,0.35,0.0,8228.0,59.971
01-Sep-2022 01:20:02.466,0.35,0.0,8228.0,59.967
01-Sep-2022 01:20:02.500,-0.11,0.0,8228.0,59.961
01-Sep-2022 01:20:02.533,0.21,0.0,8228.0,59.967
01-Sep-2022 01:20:02.566,-0.69,0.0,8228.0,59.955
01-Sep-2022 01:20:02.600,-0.22,0.0,8228.0,59.966
01-Sep-2022 01:20:02.633,0.7,0.0,8228.0,59.966
01-Sep-2022 01:20:02.666,0.0,0.0,8228.0,59.965
01-Sep-2022 01:20:02.700,-0.33,0.0,8228.0,59.963
01-Sep-2022 01:20:02.733,-1.31,0.0,8228.0,59.968
01-Sep-2022 01:20:02.766,-0.25,0.0,8228.0,59.963
01-Sep-2022 01:20:02.800,-0.17,0.0,8228.0,59.971
01-Sep-2022 01:20:02.833,0.31,0.0,8228.0,59.963
01-Sep-2022 01:20:02.866,-0.23,0.0,8228.0,59.961
